Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
20.192.588;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;17/07/2019;17/07/2019;food  -  border rejection  -  border control - consignment detained;destruction;smoked fish;fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked fish from Ghana,,,,,,,,
20.192.527;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;11/07/2019;11/07/2019;food  -  border rejection  -  border control - consignment detained;destruction;palm oil;fats and oils;not serious;attempt to illegally import;;;;attempt to illegally import palm oil from Ghana,,,,,,,,
20.192.512;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;11/07/2019;12/07/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;smoked fish;fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked fish from Ghana,,,,,,,,
2014.ATO;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;14/05/2014;14/05/2014;food  -  border rejection  -  border control - consignment detained;destruction;shelled groundnuts;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import shelled groundnuts from Ghana,,,,,,,
20.181.913;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;09/07/2018;06/08/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;various products of animal origin;other food product / mixed;not serious;attempt to illegally import;;;;attempt to illegally import various products of animal origin from Ghana,,,,,,,,
2004.CAV;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;14/09/2004;;Food  -  information  -  border control - consignment detained;destruction;chilli powder;herbs and spices;undecided;attempt to illegally import;no analytical certificates;;;illegal import (no analytical certificates) of chilli powder,,,,,,,,
2014.APT;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;09/04/2014;09/04/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import paan leaves from Bangladesh,,,,,,,,
20.192.559;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;15/07/2019;15/07/2019;food  -  border rejection  -  border control - consignment detained;destruction;smoked fish;fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked fish from Ghana,,,,,,,,
1998.BK;United Kingdom;Q145;Sri Lanka;Q854;United Kingdom;Q145;03/08/1998;;Food  -  information  -;;Fish products;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for Fish products,,,,,,,,
2016.BCD;United Kingdom;Q145;India;Q668;United Kingdom;Q145;10/08/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;betel leaves;fruits and vegetables;serious;absence of health certificate(s);;;;Salmonella (presence /25g) in and absence of health certificate(s) for betel leaves from India,,,,,,,,
2004.CEE;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;04/10/2004;;Food  -  information  -  border control - consignment detained;destruction;chilli powder;herbs and spices;undecided;attempt to illegally import;no analytical certificate;;;illegal import (no analytical certificate) of chilli powder,,,,,,,,
20.130.569;United Kingdom;Q145;Poland;Q36;Latvia;Q211;19/04/2013;02/07/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;beef stewed;meat and meat products (other than poultry);not serious;adulteration;horse DNA 87%;;01/03/2013;adulteration (horse DNA 87%) of beef stewed from Germany, manufactured in Latvia, with raw material from Poland,,,,,,
20.130.212;United Kingdom;Q145;Poland;Q36;Austria;Q40;19/02/2013;24/06/2013;food  -  information for follow-up  -  official control on the market;informing authorities;beef tortelloni;prepared dishes and snacks;not serious;adulteration;5,2% - 45 horse DNA;%;;adulteration (5,2% - 45 horse DNA %) of beef tortelloni from Germany, produced in Liechtenstein, with raw material from Poland,,,,
2017.ATV;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;02/05/2017;02/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;palm oil;fats and oils;not serious;attempt to illegally import;;;;attempt to illegally import palm oil from Ghana,,,,,,,,
2016.BFN;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;22/09/2016;26/09/2016;food  -  border rejection  -  border control - consignment detained;import not authorised;coriander;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import coriander from Vietnam,,,,,,,,
20.192.474;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;09/07/2019;19/07/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;groundnuts in shell;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import groundnuts in shell from Ghana,,,,,,,
2015.BES;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;22/07/2015;29/07/2015;food  -  border rejection  -  border control - consignment detained;destruction;fresh mint;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import fresh mint from Vietnam,,,,,,,,
2016.BRP;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;20/12/2016;20/12/2016;food  -  border rejection  -  border control - consignment detained;import not authorised;smoked & salted fish;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import smoked & salted fish from Ghana,,,,,,,
2015.AMU;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;24/03/2015;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;roasted groundnuts;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import and absence of labelling on, of health certificate(s) and of certified analytical report for roasted groundnuts from Ghana,,,,,,
2016.BRL;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;19/12/2016;19/12/2016;food  -  border rejection  -  border control - consignment detained;destruction;shelled groundnuts & peanut butter;nuts, nut products and seeds;undecided;attempt to illegally import;;;;attempt to illegally import shelled groundnuts & peanut butter from Ghana,,,,,,,
2016.AWC;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;20/06/2016;07/07/2016;food  -  border rejection  -  border control - consignment detained;destruction;shelled groundnuts;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import and absence of Common Entry Document (CED) for shelled groundnuts from Ghana,,,,,,,
20.182.934;United Kingdom;Q145;South Africa;Q258;Norway;Q20;17/10/2018;30/11/2018;food  -  information for follow-up  -  official control on the market;withdrawal from recipient(s);nougat;confectionery;not serious;illegal import;contains egg, milk and honey ingredients;;;illegal import (contains egg, milk and honey ingredients) of nougat from South Africa,,,,,,
2017.AVR;United Kingdom;Q145;India;Q668;United Kingdom;Q145;12/05/2017;20/06/2017;food  -  border rejection  -  border control - consignment detained;destruction;chilli powder in spices mix;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for chilli powder in spices mix from India,,,,,,,,
2.013.033;United Kingdom;Q145;Ireland;Q27;United Kingdom;Q145;08/03/2013;21/03/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;cottage pie;prepared dishes and snacks;undecided;adulteration;horse DNA: 50<--> 70;%;20/02/2013;adulteration (horse DNA: 50<--> 70 %) of cottage pie from Ireland,,,,,,,,
2016.AKF;United Kingdom;Q145;India;Q668;United Kingdom;Q145;10/03/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;betel leaves;fruits and vegetables;not serious;absence of health certificate(s);;;;absence of health certificate(s) for betel leaves from India,,,,,,,,
2015.AVJ;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;07/05/2015;07/05/2015;food  -  border rejection  -  border control - consignment detained;re-dispatch;pistachios;nuts, nut products and seeds;serious;missing import declaration;;;;missing import declaration for pistachios from Turkey,,,,,,,
20.150.764;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;15/06/2015;15/06/2015;food  -  information for attention  -  border control - consignment released;seizure;mint;herbs and spices;not serious;illegal import;;;;illegal import of mint from Vietnam,,,,,,,,
20.150.656;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;01/06/2015;09/07/2015;food  -  information for follow-up  -  border control - consignment released;informing authorities;frozen blanched whole clams in shell;bivalve molluscs and products thereof;not serious;illegal import;;;29/05/2015;illegal import of frozen blanched whole clams in shell from Vietnam,,,,,,,,
2011.BBO;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;16/05/2011;16/05/2011;food  -  border rejection  -  border control - consignment detained;destruction;myoga;fruits and vegetables;undecided;missing import declaration;;;;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for myoga from Japan,,,,,,,,
20.110.639;United Kingdom;Q145;Belgium;Q31;Belgium;Q31;16/05/2011;30/08/2011;feed  -  alert  -  company's own check;withdrawal from the market;petfood for dogs;pet food;undecided;suspicion of adulteration;;;;suspicion of adulteration of petfood for dogs from Belgium,,,,,,,,
20.130.406;United Kingdom;Q145;Hungary;Q28;United Kingdom;Q145;20/03/2013;19/04/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;diced beef;meat and meat products (other than poultry);not serious;adulteration;presence of horse DNA: 100;%;01/01/1970;adulteration (presence of horse DNA: 100 %) of diced beef from Hungary,,,,,,,,
20.191.245;United Kingdom;Q145;Israel;Q801;United Kingdom;Q145;02/04/2019;15/04/2019;feed  -  information for follow-up  -  company's own check;informing recipient(s);technical potassium chloride;feed materials;undecided;suspicion of fraud;;;;technical potassium chloride from Israel, via Belgium sold as feed-grade,,,,,,,
20.180.004;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;02/01/2018;02/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;milk chocolate covered hazelnuts;nuts, nut products and seeds;not serious;absence of certified analytical report;;;;absence of certified analytical report for milk chocolate covered hazelnuts from Turkey,,,,,,,
2013.CCW;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;16/12/2013;02/01/2014;food  -  border rejection  -  border control - consignment detained;destruction;dried figs;fruits and vegetables;not serious;absence of certified analytical report;;;;absence of certified analytical report for dried figs from Turkey,,,,,,,,
20.192.612;United Kingdom;Q145;India;Q668;United Kingdom;Q145;18/07/2019;05/08/2019;food  -  border rejection  -  border control - consignment detained;re-dispatch;idly powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for idly powder from India,,,,,,,,
2013.BRY;United Kingdom;Q145;Moldova;Q217;Romania;Q218;02/10/2013;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;honey;honey and royal jelly;not serious;absence of health certificate(s);;;;absence of health certificate(s) for honey from Moldova,,,,,,,,
20.130.197;Venezuela;Q717;Romania;Q218;Germany;Q183;18/02/2013;03/06/2013;food  -  information for follow-up  -  company's own check;withdrawal from the market;ravioli bolognese;prepared dishes and snacks;not serious;adulteration;horse DNA: 3.6;%;06/03/2013;adulteration (horse DNA: 3.6 %) of ravioli bolognese from France, with raw material from Romania, via the Netherlands,,,,,,
